GEOIDFQ,NaN count,Land area (km²),Water area (km²),Total population,Median age,Male [%],18 years and over [%],65 years and over [%],White [%],Black or African American [%],American Indian and Alaska Native [%],Asian [%],Hispanic or Latino [%],Total housing units,Homeowner vacancy rate [%],Rental vacancy rate [%],Vacant housing units [%],Owner-occupied [%],Housing units with a mortgage [%],Owner costs <25% of income (with mortgage) [%],Owner costs >=25% of income (with mortgage) [%],Owner costs <25% of income (without mortgage) [%],Owner costs >=25% of income (without mortgage) [%],Gross rent <25% of income [%],Gross rent >=25% of income [%],Mean travel time to work (min),Median household income ($),All parents in family in labor force [%],Median full-time earnings gender ratio (F/M) [%],Civilian labor force [%],Armed Forces [%],Unemployment Rate [%],Female civilian labor force [%],Commuting: individual car [%],Commuting: public transport [%],Commuting: work from home [%],"Labor force by industry: agriculture, forestry, fishing, hunting, mining [%]",Labor force by industry: construction [%],Labor force by industry: manufacturing [%],Labor force by industry: wholesale trade [%],Labor force by industry: retail trade [%],"Labor force by industry: transportation, warehousing, utilities [%]",Labor force by industry: information [%],"Labor force by industry: finance, insurance, real estate, rental, leasing [%]","Labor force by industry: professional, scientific, management, admin, waste management services [%]","Labor force by industry: education, health care, social assistance [%]","Labor force by industry: arts, entertainment, recreation, accommodation, food services [%]",Labor force by industry: other services [%],Labor force by industry: public administration [%],Health insurance coverage (noninstitutionalized) [%],Under 18 years poverty [%],18 to 64 years poverty [%],65 years and over poverty [%],Total households,Households: married-couple [%],Households: Male (no spouse) [%],Households: Female (no spouse) [%],Education: <9th grade [%],Education: 9th-12th (no diploma) [%],Education: high school graduate [%],Education: some college (no degree) [%],Education: associate's degree [%],Education: bachelor's degree [%],Education: graduate or professional degree [%],Education: high school graduate or higher [%],Education: bachelor's degree or higher [%],Moved: different house [%],Moved: within U.S. [%],Moved: different county [%],Moved: different state [%],Foreign-born [%],Foreign-born: naturalized [%],Limited English speakers [%],Households: with computer [%],Households: with broadband [%]
0500000US31039,0,1477.641638,10.701538,9039,44.0,0.504,0.755,0.213,0.945,0.004,0.011000000000000001,0.003,0.099,4239,0.037000000000000005,0.069,0.106,0.6809999999999999,0.42100000000000004,0.792,0.20800000000000002,0.87,0.13,0.56,0.43900000000000006,15.4,50734,0.8074891982717235,0.7601452963768451,0.698,0.0,0.026000000000000002,0.609,0.794,0.0,0.079,0.156,0.07400000000000001,0.13699999999999998,0.028999999999999998,0.11,0.045,0.006999999999999999,0.040999999999999995,0.037000000000000005,0.22,0.059000000000000004,0.06,0.025,0.914,0.122,0.057999999999999996,0.086,3790,0.5489999999999999,0.046,0.061,0.07,0.06,0.354,0.183,0.121,0.157,0.055,0.871,0.212,0.095,0.095,0.044000000000000004,0.005,0.051,0.33299999999999996,0.03,0.782,0.653
0500000US53069,0,680.956787,61.588406,4105,53.3,0.484,0.8290000000000001,0.318,0.951,0.003,0.031,0.02,0.057999999999999996,2108,0.023,0.023,0.135,0.81,0.485,0.519,0.48200000000000004,0.899,0.102,0.26299999999999996,0.736,24.6,49508,0.5925925925925926,0.7097299163283086,0.368,0.0,0.063,0.364,0.74,0.033,0.079,0.08800000000000001,0.08800000000000001,0.092,0.023,0.077,0.087,0.008,0.012,0.053,0.243,0.07200000000000001,0.046,0.109,0.91,0.182,0.158,0.084,1823,0.524,0.079,0.10099999999999999,0.023,0.062,0.33299999999999996,0.294,0.11699999999999999,0.091,0.08,0.915,0.171,0.134,0.128,0.03,0.002,0.031,0.341,0.009000000000000001,0.865,0.7709999999999999
0500000US35011,0,6016.761648,29.147345,2016,42.6,0.45899999999999996,0.759,0.187,0.797,0.017,0.0,0.002,0.46,1143,0.1,0.0,0.41700000000000004,0.665,0.28,0.42700000000000005,0.5720000000000001,0.855,0.143,0.363,0.637,10.3,31439,0.7904564315352697,0.989106506592833,0.44799999999999995,0.0,0.066,0.335,0.7070000000000001,0.0,0.099,0.157,0.10800000000000001,0.009000000000000001,0.006999999999999999,0.034,0.046,0.01,0.037000000000000005,0.147,0.23600000000000002,0.084,0.016,0.10800000000000001,0.909,0.22399999999999998,0.268,0.109,666,0.444,0.036000000000000004,0.084,0.026000000000000002,0.10300000000000001,0.36,0.366,0.042,0.057,0.047,0.872,0.10400000000000001,0.10899999999999999,0.107,0.06,0.016,0.028999999999999998,0.373,0.03,0.77,0.649
0500000US31109,0,2169.252486,22.867561,306357,33.2,0.502,0.77,0.126,0.894,0.054000000000000006,0.013999999999999999,0.05,0.067,127262,0.006999999999999999,0.039,0.05,0.601,0.6890000000000001,0.691,0.30800000000000005,0.88,0.11900000000000001,0.42,0.58,18.8,55747,0.7776397152338211,0.7950868655824476,0.7140000000000001,0.002,0.039,0.6829999999999999,0.818,0.012,0.033,0.01,0.062,0.091,0.023,0.111,0.040999999999999995,0.021,0.079,0.099,0.268,0.091,0.047,0.057999999999999996,0.917,0.156,0.151,0.054000000000000006,120962,0.46399999999999997,0.043,0.096,0.027000000000000003,0.04,0.223,0.21899999999999997,0.114,0.243,0.136,0.9329999999999999,0.379,0.20900000000000002,0.201,0.066,0.027999999999999997,0.078,0.456,0.047,0.915,0.84
0500000US31129,0,1489.645186,1.718484,4318,49.4,0.501,0.8009999999999999,0.267,0.983,0.003,0.004,0.013000000000000001,0.026000000000000002,2455,0.02,0.081,0.191,0.7559999999999999,0.311,0.76,0.24,0.8959999999999999,0.10400000000000001,0.455,0.544,16.1,42055,0.8666666666666667,0.7486207067945723,0.635,0.0,0.017,0.5820000000000001,0.769,0.003,0.08800000000000001,0.172,0.077,0.06,0.045,0.111,0.047,0.023,0.053,0.04,0.228,0.071,0.045,0.028999999999999998,0.898,0.16,0.106,0.07200000000000001,1985,0.5489999999999999,0.040999999999999995,0.040999999999999995,0.026000000000000002,0.043,0.415,0.213,0.11199999999999999,0.121,0.07,0.9309999999999999,0.191,0.135,0.131,0.057999999999999996,0.019,0.019,0.07200000000000001,0.017,0.8240000000000001,0.7040000000000001
0500000US46099,0,2089.691696,18.198505,183660,34.7,0.503,0.748,0.121,0.889,0.061,0.033,0.025,0.047,78099,0.013000000000000001,0.052000000000000005,0.055999999999999994,0.636,0.693,0.696,0.30400000000000005,0.8889999999999999,0.11,0.461,0.539,17.8,57322,0.8085273580457577,0.7914967192764675,0.748,0.001,0.034,0.711,0.8370000000000001,0.009000000000000001,0.034,0.013999999999999999,0.071,0.10400000000000001,0.034,0.12300000000000001,0.039,0.021,0.11599999999999999,0.076,0.244,0.087,0.042,0.027999999999999997,0.9209999999999999,0.14300000000000002,0.10099999999999999,0.081,73762,0.46799999999999997,0.048,0.102,0.034,0.047,0.276,0.217,0.11699999999999999,0.217,0.092,0.919,0.309,0.179,0.174,0.062,0.027999999999999997,0.065,0.375,0.04,0.89,0.794
0500000US48327,0,2336.23792,0.613559,2123,49.1,0.546,0.821,0.272,0.902,0.009000000000000001,0.065,0.0,0.373,1789,0.015,0.09300000000000001,0.461,0.667,0.33399999999999996,0.5720000000000001,0.428,0.815,0.185,0.462,0.5379999999999999,29.3,37917,0.5633802816901409,0.7878120872901075,0.607,0.0,0.051,0.55,0.69,0.0,0.037000000000000005,0.147,0.228,0.03,0.013999999999999999,0.042,0.09300000000000001,0.0,0.036000000000000004,0.022000000000000002,0.263,0.045,0.009000000000000001,0.07200000000000001,0.696,0.11900000000000001,0.096,0.086,964,0.491,0.027000000000000003,0.086,0.127,0.08199999999999999,0.361,0.226,0.046,0.10400000000000001,0.054000000000000006,0.7909999999999999,0.158,0.159,0.159,0.081,0.03,0.06,0.17300000000000001,0.077,0.7,0.56
0500000US06091,0,2468.694586,23.29911,2885,55.0,0.516,0.852,0.264,0.988,0.003,0.015,0.013999999999999999,0.10099999999999999,2388,0.033,0.008,0.494,0.797,0.462,0.49200000000000005,0.508,0.747,0.253,0.35300000000000004,0.648,29.6,44190,0.7065727699530516,0.4725132075471698,0.48700000000000004,0.0,0.053,0.503,0.665,0.0,0.18100000000000002,0.046,0.191,0.037000000000000005,0.0,0.042,0.109,0.002,0.0,0.09,0.21899999999999997,0.069,0.017,0.179,0.9059999999999999,0.106,0.16,0.048,1208,0.498,0.031,0.053,0.004,0.067,0.254,0.35100000000000003,0.109,0.149,0.065,0.929,0.214,0.055,0.055,0.039,0.005,0.026000000000000002,0.467,0.013999999999999999,0.758,0.69
0500000US21053,0,510.864294,21.164151,10208,41.7,0.501,0.773,0.185,0.983,0.005,0.005,0.002,0.027999999999999997,5310,0.016,0.045,0.242,0.6990000000000001,0.4,0.612,0.38799999999999996,0.847,0.154,0.514,0.48599999999999993,18.4,31130,0.6002899951667472,1.041202823784958,0.502,0.0,0.07400000000000001,0.46299999999999997,0.833,0.005,0.024,0.049,0.055999999999999994,0.245,0.021,0.079,0.043,0.004,0.026000000000000002,0.044000000000000004,0.248,0.085,0.038,0.064,0.882,0.23,0.20800000000000002,0.14,4025,0.515,0.055,0.096,0.12,0.163,0.396,0.149,0.071,0.055999999999999994,0.045,0.7170000000000001,0.10099999999999999,0.085,0.085,0.039,0.011000000000000001,0.016,0.037000000000000005,0.013000000000000001,0.652,0.546
0500000US39063,0,1376.210232,5.959837,75508,38.9,0.493,0.775,0.159,0.95,0.027999999999999997,0.009000000000000001,0.021,0.052000000000000005,33881,0.009000000000000001,0.028999999999999998,0.054000000000000006,0.693,0.639,0.7070000000000001,0.293,0.843,0.158,0.48700000000000004,0.514,17.1,52831,0.7285831182728016,0.7353193356064684,0.657,0.001,0.045,0.614,0.841,0.002,0.033,0.013000000000000001,0.046,0.285,0.026000000000000002,0.11,0.047,0.01,0.042,0.07,0.207,0.08,0.047,0.018000000000000002,0.94,0.159,0.124,0.055999999999999994,32049,0.49200000000000005,0.049,0.081,0.016,0.059000000000000004,0.35700000000000004,0.20199999999999999,0.095,0.171,0.10099999999999999,0.925,0.271,0.17400000000000002,0.168,0.064,0.021,0.039,0.39299999999999996,0.016,0.888,0.794
